Team,Product_prefix,Release_name,Release_ID,Release_date
Case Management,CASE,Request - March 2020,6781351488775022274,2020-03-09
Case Management,CASE,Request - April 2020,6781351629878002090,2020-04-06
Case Management,CASE,Request - May 2020,6782602762264880863,2020-05-11
Case Management,CASE,Request - June 2020,6782603150892041970,2020-06-08
Case Management,CASE,Requests - 2020 - S2,6729456697128152699,2020-07-13
Case Management,CASE,Request - July 2020,6783960823584611644,2020-07-13
Case Management,CASE,2020 - H2,6698718001437997356,2020-07-14
Process Automation,PROCESS,2020 Q1 - Process Automation,6693939839944660596,2020-04-30
Process Automation,PROCESS,2020 Q2 - Process Automation,6678171311614612590,2020-07-31
Process Automation,PROCESS,2020 Q3 - Process Automation,6737654397494650100,2020-10-31
Robotic Process Automation,RPA,2020 Q1 - Robotic Process Automation,6738043834137201794,2020-03-31
Robotic Process Automation,RPA,2020 Q2 - Robotic Process Automation,6780304459366995364,2020-06-30
Robotic Process Automation,RPA,After,6694568872327725058,2021-01-01
Document Generation,DOCGEN,Q2/2020 - ADG,6798055062644467539,2020-03-27
Employee File Management,EFM,Q1/20 - EFM,6785177895873189622,2020-03-27
Employee File Management,EFM,Q2/20 - EFM,6795079136695819703,2020-07-03
Employee File Management,EFM,Q3/20 - EFM,6795079217517247450,2020-09-30
eSignature,ESIGN,Q1/2020 - eSignature,6797799052782947608,2020-03-26
eSignature,ESIGN,Q2/2020 - eSignature,6797767195352863539,2020-06-30
HRSD Ideas,HRSDIDEAS,COBA Q1/20,6794357326875929078,2020-03-15
HRSD Ideas,HRSDIDEAS,COBA Q2/20,6722285622857761982,2020-06-17
HRSD Ideas,HRSDIDEAS,COBA Q3/20,6722285993471547718,2020-09-16
HRSD Ideas,HRSDIDEAS,COBA Q4/20,6794360018082264790,2020-12-15
Form Builder,FORM,2020 Q1 - Formidable,6707566407635563838,2020-03-31
Form Builder,FORM,2020 Q2 - Formidable,6733484089132649920,2020-06-30
Form Builder,FORM,2020 Q3 - Formidable,6781467185370168668,2020-08-31
Form Builder,FORM,2020 Q4 - Formidable,6781467503234785352,2020-12-31
Core Payroll,PAY,2020 W15 - UltiPro,6737734277767209322,2020-04-09
NU Payroll,PAYNU,2020 Q1 (Hypothetical Restart),6516964795118820043,2020-07-01
NU Payroll,PAYNU,2020 Q2,6516964886671649275,2020-07-01
NU Payroll,PAYNU,2020 Q3,6516965412842830842,2020-09-30
NU Payroll,PAYNU,2020 Q4,6516966393244055197,2020-12-31
Tax USA,TAXU,2020 MAR 12,6798125776912082957,2020-03-12
ACA,ACA,2020 Q1 FEB,6771038858098305370,2020-03-12
ACA,ACA,2020 Q2 MAY,6761758847760023292,2020-05-31
ACA Filing Portal,ACAFP,2020 Q1 MAR,6771039471301068935,2020-03-31
ACA Filing Portal,ACAFP,2020 Q2,6766628092447746433,2020-06-30
ACA Filing Portal,ACAFP,2020 Q3,6792195845507629758,2020-09-30
Benefits Prime,PRIME,2020 March 12,6784506588819170680,2020-03-12
Benefits Prime,PRIME,Q3 2020,6798259809713539163,2020-03-27
Benefits Prime,PRIME,2020 Q1 March,6674252843087774545,2020-03-31
Benefits Prime,PRIME,2020 Q2 June,6707677154679903655,2020-06-30
Benefits Prime,PRIME,2020 Q3 September,6760662837470817464,2020-09-30
Compensation Management,CM,2020 Q2,6766705491164069521,2020-06-30
Time and Attendance,UTA,6.2.0v33,6756939997519970020,2020-04-14
Time and Attendance,UTA,6.2.0v34,6756940384272664936,2020-06-16
Time and Attendance,UTA,6.2.0v35,6756940671030636584,2020-08-18
Time and Attendance,UTA,UTA (2020),6590753898089657781,2020-12-31
Time and Attendance,UTA,6.4.0v01,6741071295072746399,2020-12-31
Time and Attendance,UTA,6.4.0,6746186705254579865,2020-12-31
Time Collection,TC,Q1 2020,6756619118499161076,2020-03-24
Time Collection,TC,NA,6732467175738544373,2020-05-31
Time Collection,TC,Q2 2020,6756632726323057233,2020-06-16
Time Collection,TC,Q3 2020,6756635063188790403,2020-09-29
Time Collection,TC,Q4 2020,6756636332857406863,2020-12-01
UTC Host,UTCHOST,2020.017,6756636793552239590,2020-12-22
Time Management,UTM,6.4,6750302112613101599,2020-04-09
Time Management,UTM,6.6,6756635430529282684,2020-06-11
Time Management,UTM,6.8,6756684191055453292,2020-08-13
Time Management,UTM,6.10,6756684516229967199,2020-10-08
Time Management,UTM,6.12,6766306267277714033,2020-12-10
Time Management,UTM,UTM 2020,6593665971111785491,2020-12-31
TOA,WFMTOA,Q1 2020,6749171550144573067,2020-03-18
TOA,WFMTOA,Q2 2020,6749171550549279692,2020-06-30
