Category,Sub_Category,Component
ACA Services-ACA Filing,Other,Rewards Domain
ACA Services-Filing - Corrections,Other,Rewards Domain
ACA Toolkit Services-ACA Filing,Other,Rewards Domain
ACA Toolkit Services-BI Reporting,Delivered BI Reports,Business Intelligence
ACA Toolkit Services-BI Reporting,Import,Business Intelligence
ACA Toolkit Services-Configuration 1095C,Deduction Benefit Plan Business Rule,Rewards Domain
ACA Toolkit Services-Configuration 1095C,PPACA Reporting,Rewards Domain
ACA Toolkit Services-Electronic 1095C Consent,Other,Rewards Domain
ACA Toolkit Services-Employee Self Service 1095C,Other,Rewards Domain
ACA Toolkit Services-Exchange Notices,Other,Rewards Domain
"ACA Toolkit Services-Generation 1094C, 1095C",Employee Export,Rewards Domain
ACA Toolkit Services-Healthcare Eligibility (HCE),Benefits,Rewards Domain
ACA Toolkit Services-Import 1095C Data,Benefits Import,Rewards Domain
ACA Toolkit Services-Offer of Coverage,Benefits,Rewards Domain
ACA Toolkit Services-Other,Penalty,Rewards Domain
"ACA Toolkit Services-Print 1094C, 1095C",Other,Rewards Domain
Ultimate Partner-Global Cash Card,Data Extract,Payroll
Ultimate Partner-PingIdentity,Security,AuthN
Ultimate Partner-Wright Express,Data Extract,Payroll
UltiPro Benefits Prime-ACA,Other,Benefits Prime
UltiPro Benefits Prime-API,Other,Benefits Prime
UltiPro Benefits Prime-Carrier Contact,Other,Benefits Prime
UltiPro Benefits Prime-Compliance/Regulatory,Other,Benefits Prime
UltiPro Benefits Prime-Configuration,Deductions,Benefits Prime
UltiPro Benefits Prime-Configuration,Earnings,Benefits Prime
UltiPro Benefits Prime-Configuration,Other,Benefits Prime
UltiPro Benefits Prime-Configuration,Security,Benefits Prime
UltiPro Benefits Prime-Deduction Issue/Inquiry,Other,Benefits Prime
UltiPro Benefits Prime-EDI,Other,Benefits Prime
UltiPro Benefits Prime-Electronic Consent,Other,Benefits Prime
UltiPro Benefits Prime-Eligibility Information,Other,Benefits Prime
UltiPro Benefits Prime-Employee Data,Other,Benefits Prime
UltiPro Benefits Prime-Filing,Other,Benefits Prime
UltiPro Benefits Prime-Life Event,Other,Benefits Prime
UltiPro Benefits Prime-Mass Update Import/Export,Other,Benefits Prime
UltiPro Benefits Prime-New Enrollment,Other,Benefits Prime
UltiPro Benefits Prime-Non-Benefit Related Questions,Other,Benefits Prime
UltiPro Benefits Prime-Offer of Coverage,Other,Benefits Prime
UltiPro Benefits Prime-Open Enrollment/Renewal,Other,Benefits Prime
