Change_Type,Issue_Type
None,Change Board Submittal
None,Product Release
Custom - Patch,Product Release
Custom - Upgrade,Product Release
Deploy - Application Upgrade,Product Release
Deploy - eModule,Product Release
Deploy - Quarterly Updates,Product Release
Deploy - Software Patch,Product Release
Deploy - Year-End Tax Updat,Product Release
Access Management - Group Policy Add/Delete/Modify,Change Board Submittal
Access Management - Login script changes,Change Board Submittal
Access Management - Modify Group Membership,Change Board Submittal
Access Management - non-standard,Change Board Submittal
Activations - Cognos,Change Board Submittal
Activations - Core,Change Board Submittal
Activations - Customer Move,Change Board Submittal
Activations - Data Restore,Change Board Submittal
Activations - Decom Core,Change Board Submittal
Activations - Decom ONB,Change Board Submittal
Activations - Decom REC,Change Board Submittal
Activations - Decom UTA,Change Board Submittal
Activations - Decom UTM/UET,Change Board Submittal
Activations - Decommission,Change Board Submittal
Activations - Disable,Change Board Submittal
Activations - Implementation,Change Board Submittal
Activations - Integration,Change Board Submittal
Activations - Multiple Customer Moves,Change Board Submittal
Activations - Network - URL Creation,Change Board Submittal
Activations - Network - VPN Change,Change Board Submittal
Activations - Network - VPN IP Add,Change Board Submittal
Activations - non-standard,Change Board Submittal
Activations - ONB,Change Board Submittal
Activations - ONBV14,Change Board Submittal
Activations - Perception,Change Board Submittal
Activations - RECV10,Change Board Submittal
Activations - RECV14,Change Board Submittal
Activations - SSO,Change Board Submittal
Activations - TEST - Cognos,Change Board Submittal
Activations - TEST - Core,Change Board Submittal
Activations - TEST - ONB,Change Board Submittal
Activations - TEST - ONBv14,Change Board Submittal
Activations - TEST - RECV10,Change Board Submittal
Activations - TEST - RECV14,Change Board Submittal
Activations - TEST - UTA,Change Board Submittal
Activations - TEST - UTB,Change Board Submittal
Activations - TEST - UTM/UET,Change Board Submittal
Activations - TEST-WFM,Change Board Submittal
Activations - UTA,Change Board Submittal
Activations - UTB,Change Board Submittal
Activations - UTE,Change Board Submittal
Activations - UTM/UET,Change Board Submittal
Activations - WFM,Change Board Submittal
App owner - Application install,Change Board Submittal
App owner - Application Maintenance,Change Board Submittal
App owner - Application one-off,Change Board Submittal
App owner - Application upgrade,Change Board Submittal
App owner - Apply patch,Change Board Submittal
App owner - Configuration change,Change Board Submittal
App owner - Deploy package/cube,Change Board Submittal
App owner - non-standard,Change Board Submittal
B&D - CTE maintenance,Change Board Submittal
B&D - PatchBuilder maintenance,Change Board Submittal
B&D - TeamCity maintenance,Change Board Submittal
B&D - WST maintenance,Change Board Submittal
Cloud Engine - Artifactory Update,Change Board Submittal
Cloud Engine - ELK Update,Change Board Submittal
Cloud Engine - Grafana/Influx Update,Change Board Submittal
Cloud Engine - MongoDB Managed Service Update,Change Board Submittal
Cloud Engine - MySQL Managed Service Update,Change Board Submittal
Cloud Engine - non-standard,Change Board Submittal
Cloud Engine - PCF Update,Change Board Submittal
Cloud Engine - RabbitMQ Managed Service Update,Change Board Submittal
Cloud Engine - Redis Managed Service Update,Change Board Submittal
Cloud Engine - Sensu Update,Change Board Submittal
Cloud Engine - SPADE Update,Change Board Submittal
Cloud Engine - TeamCity Update,Change Board Submittal
COS - Application installation,Change Board Submittal
COS - Apply patch,Change Board Submittal
COS - Decommission,Change Board Submittal
COS - HW maintenance,Change Board Submittal
COS - non-standard,Change Board Submittal
COS - Rack/stack/cable,Change Board Submittal
COS - Recabling,Change Board Submittal
DBA - Application changes,Change Board Submittal
DBA - Configuration,Change Board Submittal
DBA - Maintenance,Change Board Submittal
DBA - non-standard,Change Board Submittal
DBA - Security,Change Board Submittal
DEV Legacy - AD: Adding DC,Change Board Submittal
DEV Legacy - AD: Adding Users to Groups,Change Board Submittal
DEV Legacy - AD: Creating ID's/Groups,Change Board Submittal
DEV Legacy - AD: Modifying GPO's,Change Board Submittal
